Breakdown,2021-06-30 00:00:00,2020-06-30 00:00:00,2019-06-30 00:00:00,2018-06-30 00:00:00,ticker
changeToLiabilities,241393.0,-73990.0,-629987.0,713702.0,14D.AX
totalCashflowsFromInvestingActivities,587159.0,-2335031.0,-3098750.0,-3405201.0,14D.AX
totalCashFromFinancingActivities,3116048.0,-398868.0,16022508.0,5847854.0,14D.AX
changeToOperatingActivities,15524.0,-40169.0,-60684.0,-406015.0,14D.AX
issuanceOfStock,3175540.0,3175540.0,16338347.0,5847854.0,14D.AX
netIncome,-5974178.0,-2865958.0,-4270815.0,-5484860.0,14D.AX
changeInCash,1309478.0,-5325713.0,8792950.0,-679763.0,14D.AX
effectOfExchangeRate,-274.0,15400.0,3215.0,3215.0,14D.AX
totalCashFromOperatingActivities,-2393455.0,-2607214.0,-4134023.0,-3122416.0,14D.AX
depreciation,136772.0,300221.0,33658.0,24533.0,14D.AX
otherCashflowsFromInvestingActivities,1970840.0,2979782.0,2999406.0,1920818.0,14D.AX
changeToAccountReceivables,771.0,-5851.0,167019.0,-143541.0,14D.AX
otherCashflowsFromFinancingActivities,-59492.0,-59492.0,-315839.0,-315839.0,14D.AX
changeToNetincome,3186263.0,78533.0,100124.0,2173765.0,14D.AX
capitalExpenditures,-7548.0,-36263.0,-29531.0,-164146.0,14D.AX
netBorrowings,,-398868.0,-398868.0,-398868.0,14D.AX
