Breakdown,2020-06-30 00:00:00,2019-06-30 00:00:00,2018-06-30 00:00:00,2017-06-30 00:00:00,ticker
intangibleAssets,307987.0,275223.0,255979.0,,2BE.AX
totalLiab,10490580.0,8534107.0,7750955.0,,2BE.AX
totalStockholderEquity,17033784.0,21628097.0,6786698.0,,2BE.AX
otherCurrentLiab,611192.0,4422521.0,201211.0,,2BE.AX
totalAssets,27524364.0,30162204.0,14537653.0,,2BE.AX
commonStock,18042218.0,18042218.0,4838823.0,,2BE.AX
retainedEarnings,-1273639.0,3394234.0,1895181.0,,2BE.AX
otherLiab,2076006.0,1966825.0,1717694.0,,2BE.AX
treasuryStock,265205.0,191645.0,52694.0,,2BE.AX
otherAssets,1402646.0,227337.0,,,2BE.AX
cash,776092.0,7605594.0,3690804.0,,2BE.AX
totalCurrentLiabilities,7669955.0,6567282.0,6033261.0,,2BE.AX
deferredLongTermAssetCharges,1402646.0,227337.0,,,2BE.AX
otherStockholderEquity,265205.0,191645.0,52694.0,,2BE.AX
propertyPlantEquipment,20553717.0,16814696.0,8576802.0,,2BE.AX
totalCurrentAssets,5260014.0,12844948.0,5704872.0,,2BE.AX
netTangibleAssets,16725797.0,21352874.0,6530719.0,,2BE.AX
netReceivables,1792104.0,3107271.0,1352344.0,,2BE.AX
inventory,2669132.0,1593012.0,555540.0,,2BE.AX
accountsPayable,6240993.0,1540310.0,2804806.0,,2BE.AX
otherCurrentAssets,,23143.0,,,2BE.AX
shortTermInvestments,,515928.0,,,2BE.AX
