Breakdown,2021-06-30 00:00:00,2020-06-30 00:00:00,2019-06-30 00:00:00,2018-06-30 00:00:00,ticker
changeToLiabilities,4578843,1435965,535436,-930710,4DX.AX
totalCashflowsFromInvestingActivities,-580449,-786449,-1030498,-905713,4DX.AX
netBorrowings,-533664,14057685,2000000,1000000,4DX.AX
totalCashFromFinancingActivities,87551323,13780765,8231939,4793511,4DX.AX
changeToOperatingActivities,39228,1020940,776315,513680,4DX.AX
issuanceOfStock,96000000,1222255,6231939,3793511,4DX.AX
netIncome,-21420531,-21975379,-6491005,-3936980,4DX.AX
changeInCash,72450870,5343968,1422528,509081,4DX.AX
totalCashFromOperatingActivities,-14520004,-7650348,-5778913,-3378717,4DX.AX
depreciation,741481,584653,103944,164234,4DX.AX
otherCashflowsFromInvestingActivities,371680,372005,253406,523044,4DX.AX
changeToInventory,-137329,612713,-605958,677888,4DX.AX
changeToAccountReceivables,137470,-87365,-465675,107998,4DX.AX
otherCashflowsFromFinancingActivities,-7915013,-1499175,-1499175,-1499175,4DX.AX
changeToNetincome,1540834,10758125,368030,25173,4DX.AX
capitalExpenditures,-576352,-325297,-524573,-157570,4DX.AX
