Breakdown,2020-12-31 00:00:00,2019-12-31 00:00:00,2018-12-31 00:00:00,2018-06-30 00:00:00,ticker
totalLiab,1219000.0,826000.0,89000.0,132793.0,A1M.AX
totalStockholderEquity,8716000.0,11080000.0,9085000.0,9329292.0,A1M.AX
otherCurrentLiab,23000.0,2000.0,15000.0,1231.0,A1M.AX
totalAssets,9935000.0,11906000.0,9174000.0,9462085.0,A1M.AX
commonStock,25868000.0,21515000.0,11927000.0,11926815.0,A1M.AX
retainedEarnings,-17844000.0,-11007000.0,-2842000.0,-2597523.0,A1M.AX
treasuryStock,692000.0,572000.0,,,A1M.AX
cash,5066000.0,5422000.0,5277000.0,7759828.0,A1M.AX
totalCurrentLiabilities,1219000.0,826000.0,89000.0,132793.0,A1M.AX
otherStockholderEquity,692000.0,572000.0,,,A1M.AX
propertyPlantEquipment,1692000.0,1689000.0,1319000.0,1356283.0,A1M.AX
totalCurrentAssets,8243000.0,10217000.0,7855000.0,8105802.0,A1M.AX
netTangibleAssets,8716000.0,11080000.0,9085000.0,9329292.0,A1M.AX
netReceivables,368000.0,94000.0,192000.0,85229.0,A1M.AX
accountsPayable,527000.0,96000.0,64000.0,100102.0,A1M.AX
