Breakdown,2020-12-31 00:00:00,2019-12-31 00:00:00,2018-12-31 00:00:00,2018-06-30 00:00:00,ticker
investments,845000.0,-321000.0,-321000.0,-321000.0,A1M.AX
changeToLiabilities,325000.0,669000.0,-198000.0,89894.0,A1M.AX
totalCashflowsFromInvestingActivities,808000.0,2476000.0,-109000.0,-196159.0,A1M.AX
totalCashFromFinancingActivities,4244000.0,-31000.0,-58000.0,9556009.0,A1M.AX
changeToOperatingActivities,17000.0,119000.0,-158000.0,-158000.0,A1M.AX
issuanceOfStock,4681000.0,4681000.0,4681000.0,10200000.0,A1M.AX
netIncome,-6837000.0,-8165000.0,-1396000.0,-2308329.0,A1M.AX
changeInCash,-356000.0,145000.0,-4027000.0,7047871.0,A1M.AX
totalCashFromOperatingActivities,-5408000.0,-2306000.0,-3860000.0,-2311979.0,A1M.AX
depreciation,35000.0,84000.0,80000.0,45109.0,A1M.AX
changeToAccountReceivables,-313000.0,98000.0,-104000.0,-51286.0,A1M.AX
otherCashflowsFromFinancingActivities,-437000.0,-31000.0,-58000.0,-643991.0,A1M.AX
changeToNetincome,1365000.0,4889000.0,-2084000.0,-87367.0,A1M.AX
capitalExpenditures,-37000.0,-160000.0,-109000.0,-196159.0,A1M.AX
effectOfExchangeRate,,6000.0,6000.0,6000.0,A1M.AX
