Breakdown,2021-06-30 00:00:00,2020-06-30 00:00:00,2019-06-30 00:00:00,2018-06-30 00:00:00,ticker
totalLiab,711201.0,1650596.0,2288951.0,792199.0,A3D.AX
totalStockholderEquity,2200587.0,3390228.0,5735996.0,6446642.0,A3D.AX
otherCurrentLiab,289688.0,437251.0,520513.0,287240.0,A3D.AX
totalAssets,2911788.0,5040824.0,8024947.0,7238841.0,A3D.AX
commonStock,29995029.0,27218305.0,21793469.0,15232021.0,A3D.AX
otherCurrentAssets,38592.0,92959.0,108162.0,108162.0,A3D.AX
retainedEarnings,-29085199.0,-26097517.0,-17941658.0,-10298585.0,A3D.AX
treasuryStock,1290757.0,2269440.0,1884185.0,1513206.0,A3D.AX
cash,1372450.0,1323766.0,3604293.0,3790081.0,A3D.AX
totalCurrentLiabilities,553700.0,1650596.0,2288951.0,792199.0,A3D.AX
otherStockholderEquity,1290757.0,2269440.0,1884185.0,1513206.0,A3D.AX
propertyPlantEquipment,725014.0,962929.0,472633.0,475162.0,A3D.AX
totalCurrentAssets,2186774.0,3544459.0,6623739.0,6253542.0,A3D.AX
netTangibleAssets,2200587.0,2856792.0,5002731.0,5936505.0,A3D.AX
netReceivables,763615.0,1659925.0,2186692.0,1654191.0,A3D.AX
accountsPayable,60499.0,47729.0,218122.0,320478.0,A3D.AX
intangibleAssets,,533436.0,733265.0,510137.0,A3D.AX
inventory,,458103.0,648642.0,656437.0,A3D.AX
longTermInvestments,,,195310.0,,A3D.AX
