Breakdown,2021-06-30 00:00:00,2020-06-30 00:00:00,2019-06-30 00:00:00,2018-06-30 00:00:00,ticker
intangibleAssets,1483000.0,1198000.0,1763000.0,1956000.0,ABA.AX
totalLiab,3899248000.0,3547428000.0,3364905000.0,3112873000.0,ABA.AX
totalStockholderEquity,256537000.0,242038000.0,238497000.0,236742000.0,ABA.AX
otherCurrentLiab,1230000.0,,,,ABA.AX
totalAssets,4155785000.0,3789466000.0,3603402000.0,3349615000.0,ABA.AX
commonStock,195218000.0,193261000.0,191936000.0,191612000.0,ABA.AX
otherCurrentAssets,24471000.0,28558000.0,19815000.0,21932000.0,ABA.AX
retainedEarnings,56721000.0,45244000.0,42316000.0,40796000.0,ABA.AX
otherLiab,1705000.0,5282000.0,17501000.0,12943000.0,ABA.AX
goodWill,46363000.0,46363000.0,46363000.0,46363000.0,ABA.AX
treasuryStock,4598000.0,3533000.0,4245000.0,4334000.0,ABA.AX
otherAssets,3554018000.0,3207564000.0,3087185000.0,2920295000.0,ABA.AX
cash,92501000.0,82404000.0,89765000.0,69279000.0,ABA.AX
totalCurrentLiabilities,3404362000.0,3134773000.0,2893134000.0,2530604000.0,ABA.AX
deferredLongTermAssetCharges,2834000.0,5726000.0,4952000.0,4573000.0,ABA.AX
shortLongTermDebt,203595000.0,227251000.0,182642000.0,146840000.0,ABA.AX
otherStockholderEquity,4598000.0,3533000.0,4245000.0,4334000.0,ABA.AX
propertyPlantEquipment,21315000.0,21394000.0,14363000.0,15576000.0,ABA.AX
totalCurrentAssets,473660000.0,426881000.0,392681000.0,320166000.0,ABA.AX
longTermInvestments,58946000.0,86066000.0,61047000.0,45259000.0,ABA.AX
netTangibleAssets,208691000.0,194477000.0,190371000.0,188423000.0,ABA.AX
shortTermInvestments,353815000.0,309465000.0,277150000.0,225442000.0,ABA.AX
longTermDebt,487925000.0,402273000.0,454270000.0,569326000.0,ABA.AX
accountsPayable,3187255000.0,2890389000.0,2691377000.0,2368404000.0,ABA.AX
netReceivables,,3344000.0,1575000.0,-721000.0,ABA.AX
