Breakdown,Value,ticker
zip,6065,ABV.AX
sector,Consumer Cyclical,ABV.AX
fullTimeEmployees,15,ABV.AX
longBusinessSummary,"Advanced Braking Technology Limited researches, designs, develops, manufactures, commercializes, and sells braking solutions worldwide. The company offers braking solutions for light, heavy, defense, and electric vehicles, as well as autonomous vehicle emergency braking and brake controllers under the ABT Failsafe, Terra Dura, and ABT Failsafe Emergency brand names. It also provides installation and maintenance services. The company serves mining, defense, civil construction, and waste management industries. Advanced Braking Technology Limited was incorporated in 2001 and is headquartered in Wangara, Australia.",ABV.AX
city,Wangara,ABV.AX
phone,61 8 9302 1922,ABV.AX
state,WA,ABV.AX
compensationAsOfEpochDate,1640908800,ABV.AX
country,Australia,ABV.AX
website,https://www.advancedbraking.com,ABV.AX
maxAge,86400,ABV.AX
address1,19 Creative Street,ABV.AX
fax,61 8 9302 1922,ABV.AX
industry,Auto Parts,ABV.AX
