Breakdown,2020-12-31 00:00:00,2019-12-31 00:00:00,2018-12-31 00:00:00,2017-12-31 00:00:00,ticker
changeToLiabilities,344000,362000,277000,44000,ABX.AX
totalCashflowsFromInvestingActivities,1057000,1090000,-516000,808000,ABX.AX
totalCashFromFinancingActivities,721000,595000,1519000,1519000,ABX.AX
changeToOperatingActivities,-22000,-23000,-10000,-59000,ABX.AX
issuanceOfStock,721000,595000,1519000,1519000,ABX.AX
netIncome,-594000,-2476000,-2374000,179000,ABX.AX
changeInCash,-8000,-935000,-94000,92000,ABX.AX
totalCashFromOperatingActivities,-1786000,-2620000,-1097000,-716000,ABX.AX
depreciation,249000,249000,249000,1000,ABX.AX
otherCashflowsFromInvestingActivities,1109000,1586000,-514000,808000,ABX.AX
changeToAccountReceivables,-68000,-77000,287000,-622000,ABX.AX
changeToNetincome,-1695000,-406000,723000,-259000,ABX.AX
capitalExpenditures,-52000,-496000,-2000,-2000,ABX.AX
