Breakdown,2021-06-30 00:00:00,2020-06-30 00:00:00,2019-06-30 00:00:00,2018-06-30 00:00:00,ticker
totalLiab,14112728.0,8741902.0,8038181.0,257632.0,ACB.AX
totalStockholderEquity,17920649.0,20648698.0,48454552.0,54560202.0,ACB.AX
totalAssets,32033377.0,29390600.0,56492733.0,54817834.0,ACB.AX
commonStock,71552320.0,71552320.0,71552320.0,71523263.0,ACB.AX
otherCurrentAssets,61411.0,61411.0,,,ACB.AX
retainedEarnings,-62425796.0,-61792234.0,-32739630.0,-24039180.0,ACB.AX
treasuryStock,8794125.0,10888612.0,9641862.0,7076119.0,ACB.AX
cash,3584498.0,280531.0,1952215.0,1089938.0,ACB.AX
totalCurrentLiabilities,14112728.0,1617434.0,820121.0,141875.0,ACB.AX
otherStockholderEquity,8794125.0,10888612.0,9641862.0,7076119.0,ACB.AX
propertyPlantEquipment,28284394.0,28937032.0,54334706.0,53577206.0,ACB.AX
totalCurrentAssets,3748983.0,453568.0,2158027.0,1240628.0,ACB.AX
netTangibleAssets,17920649.0,20648698.0,48454552.0,54560202.0,ACB.AX
netReceivables,73868.0,13296.0,22313.0,27138.0,ACB.AX
accountsPayable,313870.0,106519.0,208287.0,37151.0,ACB.AX
shortLongTermDebt,,145397.0,,,ACB.AX
longTermDebt,,7124468.0,7113680.0,,ACB.AX
otherLiab,,,104380.0,115757.0,ACB.AX
