Breakdown,2021-06-30 00:00:00,2020-06-30 00:00:00,2019-06-30 00:00:00,2018-06-30 00:00:00,ticker
changeToLiabilities,10979246,-1050019,2759932,2050446,ACF.AX
totalCashflowsFromInvestingActivities,-9843092,-22230971,-14362572,-757804,ACF.AX
netBorrowings,-3678600,11580237,6939091,-24807095,ACF.AX
totalCashFromFinancingActivities,-9830292,12853580,4178899,1192152,ACF.AX
changeToOperatingActivities,-758350,-383684,-261116,1030346,ACF.AX
issuanceOfStock,130355,5247400,150001,28150000,ACF.AX
netIncome,3962998,3013335,4948715,10510658,ACF.AX
changeInCash,-7349827,3948894,-1628220,4437117,ACF.AX
effectOfExchangeRate,-1,-1,-1,-2647,ACF.AX
totalCashFromOperatingActivities,12323558,13326285,8555453,4005056,ACF.AX
depreciation,11563597,9639606,3261936,445754,ACF.AX
dividendsPaid,-3145257,-1408676,-2107019,-2107019,ACF.AX
changeToInventory,-3380809,-610383,-954928,164414,ACF.AX
changeToAccountReceivables,-8252777,853787,-2017311,229551,ACF.AX
otherCashflowsFromFinancingActivities,-3136790,-2565381,-803174,-2150753,ACF.AX
changeToNetincome,-1790347,1863643,818225,-10426113,ACF.AX
capitalExpenditures,-17409883,-13101140,-9784502,-1086382,ACF.AX
