Breakdown,2021-06-30 00:00:00,2020-06-30 00:00:00,2019-06-30 00:00:00,2018-06-30 00:00:00,ticker
totalLiab,16935000,3393000,3137000,7443000,ACQ.AX
totalStockholderEquity,98433000,61324000,62591000,66608000,ACQ.AX
otherCurrentLiab,6402000,24000,1489000,2885000,ACQ.AX
totalAssets,115368000,64717000,65728000,74051000,ACQ.AX
commonStock,68750000,53285000,52730000,52484000,ACQ.AX
retainedEarnings,29683000,8039000,9861000,14124000,ACQ.AX
otherLiab,6586000,1760000,1254000,3785000,ACQ.AX
cash,9566000,2293000,2767000,1914000,ACQ.AX
totalCurrentLiabilities,10349000,1633000,1883000,3658000,ACQ.AX
totalCurrentAssets,115368000,64717000,65728000,74051000,ACQ.AX
netTangibleAssets,98433000,61324000,62591000,66608000,ACQ.AX
netReceivables,887000,816000,837000,881000,ACQ.AX
