Breakdown,Value,ticker
zip,2000,ACW.AX
sector,Healthcare,ACW.AX
longBusinessSummary,"Actinogen Medical Limited, a biotechnology company, develops therapies for cognitive impairment associated with chronic neurological diseases in Australia. The company is developing Xanamem, a therapy for Alzheimer's disease, and cognitive impairment associated with schizophrenia, diabetes, and other disorders; and XanADu, which has completed Phase II clinical trials is a double-blind, randomized, and placebo-controlled study to assess the safety, tolerability, and efficacy of Xanamem in subjects with mild Alzheimer's disease. It is also developing XanaHES, a single blinded, central reader blinded, placebo-controlled, and dose escalation study of Xanamem to assess safety and tolerability in healthy elderly subjects. The company was formerly known as Actinogen Limited and changed its name to Actinogen Medical Limited in November 2015. Actinogen Medical Limited was incorporated in 1999 and is headquartered in Sydney, Australia.",ACW.AX
city,Sydney,ACW.AX
phone,61 2 8964 7401,ACW.AX
state,NSW,ACW.AX
compensationAsOfEpochDate,1640908800,ACW.AX
country,Australia,ACW.AX
website,https://www.actinogen.com.au,ACW.AX
maxAge,86400,ACW.AX
address1,109 Pitt Street,ACW.AX
fax,61 2 8964 7588,ACW.AX
industry,Biotechnology,ACW.AX
address2,Suite 901 Level 9,ACW.AX
