Breakdown,2021-06-30 00:00:00,2020-06-30 00:00:00,2019-06-30 00:00:00,2018-06-30 00:00:00,ticker
intangibleAssets,1435000.0,1574000.0,828000.0,365000.0,AD8.AX
totalLiab,10951000.0,8336000.0,5394000.0,4366000.0,AD8.AX
totalStockholderEquity,78855000.0,41967000.0,41144000.0,20373000.0,AD8.AX
deferredLongTermLiab,12659000.0,10476000.0,6863000.0,3514000.0,AD8.AX
otherCurrentLiab,2895000.0,1986000.0,939000.0,789000.0,AD8.AX
totalAssets,89806000.0,50303000.0,46538000.0,24739000.0,AD8.AX
commonStock,126947000.0,87526000.0,83143000.0,63288000.0,AD8.AX
retainedEarnings,-50353000.0,-46912000.0,-42774000.0,-43436000.0,AD8.AX
otherLiab,275000.0,236000.0,133000.0,309000.0,AD8.AX
treasuryStock,2261000.0,1353000.0,775000.0,521000.0,AD8.AX
otherAssets,13171000.0,11020000.0,9141000.0,5388000.0,AD8.AX
cash,38429000.0,29286000.0,30069000.0,13631000.0,AD8.AX
totalCurrentLiabilities,9244000.0,6097000.0,5261000.0,4057000.0,AD8.AX
deferredLongTermAssetCharges,68000.0,100000.0,2278000.0,1874000.0,AD8.AX
otherStockholderEquity,2261000.0,1353000.0,775000.0,521000.0,AD8.AX
propertyPlantEquipment,3401000.0,3936000.0,1013000.0,691000.0,AD8.AX
totalCurrentAssets,71799000.0,33773000.0,35556000.0,18295000.0,AD8.AX
netTangibleAssets,77420000.0,40393000.0,40316000.0,20008000.0,AD8.AX
shortTermInvestments,27364000.0,403000.0,218000.0,106000.0,AD8.AX
netReceivables,3240000.0,1849000.0,2872000.0,3163000.0,AD8.AX
inventory,1855000.0,1645000.0,1803000.0,1225000.0,AD8.AX
accountsPayable,1342000.0,1541000.0,1122000.0,1201000.0,AD8.AX
otherCurrentAssets,,,812000.0,,AD8.AX
