Breakdown,Value,ticker
zip,3207,ADA.AX
sector,Technology,ADA.AX
longBusinessSummary,"Adacel Technologies Limited develops and sells air traffic management, air traffic control simulation and training, and software applications and services in the civil and military aerospace sectors primarily in the United States, Canada, and Australia. The company offers Aurora air traffic management system for managing procedural airspace in a surveillance environment; MaxSim air traffic simulator training system; MaxSim ATC, an air traffic control simulator and training system; and AeroDrive, an immersive training simulator to train airport drivers in a safe, risk-free, and 3-D environment; and intelligent communications environment, an aviation phraseology training tool for air traffic controllers and pilots. It also provides training and simulation systems support services for military and civilian organizations. Adacel Technologies Limited was founded in 1987 and is headquartered in Port Melbourne, Australia.",ADA.AX
city,Port Melbourne,ADA.AX
phone,61 3 8530 7777,ADA.AX
state,VIC,ADA.AX
compensationAsOfEpochDate,1640908800,ADA.AX
country,Australia,ADA.AX
website,https://www.adacel.com,ADA.AX
maxAge,86400,ADA.AX
address1,29/3 Westside Avenue,ADA.AX
industry,Software—Application,ADA.AX
