Breakdown,Value,ticker
zip,3179,ADH.AX
sector,Consumer Cyclical,ADH.AX
compensationRisk,6,ADH.AX
auditRisk,5,ADH.AX
longBusinessSummary,"Adairs Limited operates as a specialty retailer of home decoration and furnishing products in Australia and New Zealand. It operates in two segments, Adairs and Mocka. The company offers bedroom, bathroom, furniture, homewares, and kid's products, as well as gifts. It sells its products under various brands and through online stores. The company was formerly known as Home & Decor Holdings Pty Ltd and changed its name to Adairs Limited in May 2015. Adairs Limited was founded in 1918 and is based in Scoresby, Australia.",ADH.AX
city,Scoresby,ADH.AX
phone,61 4 3744 9935,ADH.AX
state,VIC,ADH.AX
shareHolderRightsRisk,7,ADH.AX
compensationAsOfEpochDate,1640908800,ADH.AX
governanceEpochDate,1632614400,ADH.AX
boardRisk,9,ADH.AX
country,Australia,ADH.AX
website,https://www.adairs.com.au,ADH.AX
maxAge,86400,ADH.AX
overallRisk,8,ADH.AX
address1,2 International Court,ADH.AX
industry,Specialty Retail,ADH.AX
