Breakdown,Value,ticker
zip,4113,ADO.AX
sector,Healthcare,ADO.AX
longBusinessSummary,"AnteoTech Limited, a surface chemistry company, develops, commercializes, manufactures, and distributes products for the life sciences, diagnostics, energy, and medical device markets primarily in Australia. The company's products include AnteoCoat, which comprise a suite of compounds that enable the control of material interactions and properties in the energy storage applications; AnteoBind ready-to-use kits to streamline and improve the conjugation process; and EuGeni, a COVID-19 antigen rapid test. It has collaboration agreements with Axxin for COVID-19 anigen test. The company was formerly known as Anteo Diagnostics Limited and changed its name to AnteoTech Limited in November 2019. AnteoTech Limited was incorporated in 1995 and is headquartered in Eight Mile Plains, Australia.",ADO.AX
city,Eight Mile Plains,ADO.AX
phone,61 7 3219 0085,ADO.AX
state,QLD,ADO.AX
compensationAsOfEpochDate,1640908800,ADO.AX
country,Australia,ADO.AX
website,https://www.anteotech.com,ADO.AX
maxAge,86400,ADO.AX
address1,Brisbane Technology Park,ADO.AX
fax,61 7 3219 0553,ADO.AX
industry,Biotechnology,ADO.AX
address2,Unit 4 26 Brandl Street,ADO.AX
