Breakdown,2020-12-31 00:00:00,2020-06-30 00:00:00,2019-06-30 00:00:00,2018-06-30 00:00:00,ticker
changeToLiabilities,1375164.0,498074.0,63108.0,-89548.0,ADT.AX
totalCashflowsFromInvestingActivities,-7104498.0,-6016265.0,-3082964.0,-796775.0,ADT.AX
netBorrowings,29913698.0,29913698.0,29913698.0,29913698.0,ADT.AX
totalCashFromFinancingActivities,51634178.0,13284686.0,5850387.0,6106542.0,ADT.AX
issuanceOfStock,24635928.0,13296266.0,5850387.0,6106542.0,ADT.AX
netIncome,-11389006.0,-6238324.0,-2417653.0,-1928697.0,ADT.AX
changeInCash,39275618.0,4572970.0,725370.0,4332919.0,ADT.AX
effectOfExchangeRate,-639646.0,111740.0,-273229.0,-273229.0,ADT.AX
totalCashFromOperatingActivities,-4614416.0,-2807191.0,-1768824.0,-976848.0,ADT.AX
depreciation,126350.0,89676.0,88674.0,8910.0,ADT.AX
changeToAccountReceivables,-303666.0,-85438.0,-214013.0,-130023.0,ADT.AX
otherCashflowsFromFinancingActivities,-2915448.0,-11580.0,-11580.0,-11580.0,ADT.AX
changeToNetincome,5576742.0,2928821.0,711060.0,1162488.0,ADT.AX
capitalExpenditures,-6285766.0,-5177806.0,-105998.0,-40296.0,ADT.AX
otherCashflowsFromInvestingActivities,,37742.0,37505.0,37505.0,ADT.AX
changeToInventory,,,,22.0,ADT.AX
