Breakdown,Value,ticker
zip,2018,AEI.AX
sector,Industrials,AEI.AX
longBusinessSummary,"Aeris Environmental Ltd engages in the research, development, commercialization, and distribution of proprietary technologies in Australia and internationally. It provides HVAC/R hygiene and remediation technology, indoor air quality, and corrosion protection services; surface, skin, and food hygiene solutions; and energy efficiency services. The company was incorporated in 2000 and is based in Rosebery, Australia.",AEI.AX
city,Rosebery,AEI.AX
phone,61 2 8344 1315,AEI.AX
state,NSW,AEI.AX
compensationAsOfEpochDate,1640908800,AEI.AX
country,Australia,AEI.AX
website,https://www.aeris.com.au,AEI.AX
maxAge,86400,AEI.AX
address1,26-34 Dunning Avenue,AEI.AX
fax,61 2 9697 0944,AEI.AX
industry,Pollution & Treatment Controls,AEI.AX
address2,Unit 5,AEI.AX
