Breakdown,Value,ticker
zip,3000,AFL.AX
sector,Consumer Cyclical,AFL.AX
longBusinessSummary,"AF Legal Group Limited operates as a family and relationship law firm in Australia. It provides family law services, such as separation, divorce, child custody, child support, spousal maintenance, and property settlement. The company was formerly known as Navigator Resources Limited and changed its name to AF Legal Group Limited in May 2019. AF Legal Group Limited was incorporated in 1994 and is based in Melbourne, Australia.",AFL.AX
city,Melbourne,AFL.AX
phone,61 13 0046 3109,AFL.AX
state,VIC,AFL.AX
compensationAsOfEpochDate,1640908800,AFL.AX
country,Australia,AFL.AX
website,https://www.australianfamilylawyers.com.au,AFL.AX
maxAge,86400,AFL.AX
address1,411 Collins Street,AFL.AX
industry,Personal Services,AFL.AX
address2,Level 3,AFL.AX
