Breakdown,2021-06-30 00:00:00,2020-06-30 00:00:00,2019-06-30 00:00:00,2018-06-30 00:00:00,ticker
changeToLiabilities,-7864782.0,908834.0,825140.0,-2413194.0,AIM.AX
totalCashflowsFromInvestingActivities,-28798385.0,-3552848.0,-2263422.0,-1806007.0,AIM.AX
netBorrowings,-4371540.0,11589735.0,-702797.0,-69181.0,AIM.AX
totalCashFromFinancingActivities,61517540.0,11589735.0,-702797.0,-69181.0,AIM.AX
changeToOperatingActivities,-1299648.0,3453015.0,698516.0,127659.0,AIM.AX
issuanceOfStock,70202785.0,70202785.0,70202785.0,70202785.0,AIM.AX
netIncome,-10691490.0,-12741152.0,-3882599.0,291476.0,AIM.AX
changeInCash,14870049.0,2322000.0,-4923280.0,-906528.0,AIM.AX
effectOfExchangeRate,105336.0,59218.0,2575.0,16596.0,AIM.AX
totalCashFromOperatingActivities,-17954442.0,-5774105.0,-1959636.0,952064.0,AIM.AX
depreciation,1228585.0,1083621.0,949020.0,490135.0,AIM.AX
otherCashflowsFromInvestingActivities,-2707940.0,-2707940.0,-4722.0,-4722.0,AIM.AX
changeToInventory,22937.0,22937.0,22937.0,22937.0,AIM.AX
changeToAccountReceivables,-4266480.0,-1325022.0,-1056349.0,-470623.0,AIM.AX
otherCashflowsFromFinancingActivities,-4313705.0,-4313705.0,-4313705.0,-4313705.0,AIM.AX
changeToNetincome,2837029.0,1118204.0,1463529.0,1463529.0,AIM.AX
capitalExpenditures,-741536.0,-518998.0,-103818.0,-798447.0,AIM.AX
investments,,,-272076.0,-272076.0,AIM.AX
