Breakdown,2021-06-30 00:00:00,2020-06-30 00:00:00,2019-06-30 00:00:00,2018-06-30 00:00:00,ticker
researchDevelopment,,,,,AIM.AX
effectOfAccountingCharges,,,,,AIM.AX
incomeBeforeTax,-14244547,-16154038,-4539686,626965,AIM.AX
minorityInterest,,,,,AIM.AX
netIncome,-10691490,-12741152,-3882599,291476,AIM.AX
sellingGeneralAdministrative,8573929,6408939,3589679,2521460,AIM.AX
grossProfit,4646768,-2040164,2027089,4153283,AIM.AX
ebit,-9035337,-12229314,-4256939,620200,AIM.AX
operatingIncome,-9035337,-12229314,-4256939,620200,AIM.AX
otherOperatingExpenses,1716261,1322116,942871,18468,AIM.AX
interestExpense,-938874,-1477933,-402010,-138848,AIM.AX
extraordinaryItems,,,,,AIM.AX
nonRecurring,,,,,AIM.AX
otherItems,,,,,AIM.AX
incomeTaxExpense,-3553057,-3412886,-657087,335489,AIM.AX
totalRevenue,49079087,26068366,18443055,16197680,AIM.AX
totalOperatingExpenses,58114424,38297680,22699994,15577480,AIM.AX
costOfRevenue,44432319,28108530,16415966,12044397,AIM.AX
totalOtherIncomeExpenseNet,-5209210,-3924724,-282747,6765,AIM.AX
discontinuedOperations,,,,,AIM.AX
netIncomeFromContinuingOps,-10691490,-12741152,-3882599,291476,AIM.AX
netIncomeApplicableToCommonShares,-10691490,-12741152,-3882599,291476,AIM.AX
