Breakdown,2021-06-30 00:00:00,2020-06-30 00:00:00,2019-06-30 00:00:00,2018-06-30 00:00:00,ticker
totalLiab,190386000.0,114119000.0,107127000.0,129499000.0,AIS.AX
totalStockholderEquity,183864000.0,73649000.0,72682000.0,50791000.0,AIS.AX
otherCurrentLiab,18579000.0,517000.0,469000.0,2325000.0,AIS.AX
totalAssets,374250000.0,187768000.0,184017000.0,184498000.0,AIS.AX
commonStock,509888000.0,452313000.0,420837000.0,388180000.0,AIS.AX
retainedEarnings,-318543000.0,-379783000.0,-341432000.0,-328759000.0,AIS.AX
otherLiab,50078000.0,12274000.0,12310000.0,11636000.0,AIS.AX
treasuryStock,-7481000.0,1119000.0,-6723000.0,-8630000.0,AIS.AX
otherAssets,21868000.0,17262000.0,11729000.0,11781000.0,AIS.AX
cash,97396000.0,54303000.0,22548000.0,23332000.0,AIS.AX
totalCurrentLiabilities,110787000.0,49306000.0,87343000.0,42498000.0,AIS.AX
deferredLongTermAssetCharges,1092000.0,,,4591000.0,AIS.AX
shortLongTermDebt,2115000.0,61000.0,42970000.0,812000.0,AIS.AX
otherStockholderEquity,-7481000.0,1119000.0,-6723000.0,-8630000.0,AIS.AX
propertyPlantEquipment,202209000.0,84328000.0,122631000.0,119692000.0,AIS.AX
totalCurrentAssets,150173000.0,86178000.0,49657000.0,53025000.0,AIS.AX
netTangibleAssets,183864000.0,73649000.0,72682000.0,50791000.0,AIS.AX
netReceivables,12341000.0,17394000.0,5711000.0,8745000.0,AIS.AX
longTermDebt,25277000.0,48957000.0,412000.0,67489000.0,AIS.AX
inventory,32414000.0,11202000.0,16256000.0,16309000.0,AIS.AX
accountsPayable,68424000.0,37396000.0,30104000.0,25783000.0,AIS.AX
