Breakdown,2021-06-30 00:00:00,2020-06-30 00:00:00,2019-06-30 00:00:00,2018-06-30 00:00:00,ticker
changeToLiabilities,-36659,47159,8888,-40880,AIV.AX
totalCashflowsFromInvestingActivities,-219920,-437693,-344265,-832050,AIV.AX
netBorrowings,500000,938506,715000,705000,AIV.AX
totalCashFromFinancingActivities,486419,938506,715000,705000,AIV.AX
changeToOperatingActivities,-7937,13395,25788,-120802,AIV.AX
netIncome,-668531,-1523581,-785125,-648677,AIV.AX
changeInCash,-102055,190558,-30184,-860720,AIV.AX
repurchaseOfStock,-13581,-13581,-13581,-13581,AIV.AX
totalCashFromOperatingActivities,-368554,-310255,-400919,-733670,AIV.AX
depreciation,1060,961579,225551,41598,AIV.AX
changeToAccountReceivables,33331,-63731,-500,9803,AIV.AX
changeToNetincome,310182,254924,124479,25288,AIV.AX
capitalExpenditures,-519920,-437693,-344265,-837050,AIV.AX
