Breakdown,2021-06-30 00:00:00,2020-06-30 00:00:00,2019-06-30 00:00:00,2018-06-30 00:00:00,ticker
totalLiab,137558000.0,151615000.0,158415000.0,127825000.0,AJL.AX
totalStockholderEquity,93267000.0,85815000.0,107542000.0,139110000.0,AJL.AX
minorityInterest,1176000.0,1134000.0,,,AJL.AX
otherCurrentLiab,15386000.0,13617000.0,17908000.0,25289000.0,AJL.AX
totalAssets,232001000.0,238564000.0,265957000.0,266935000.0,AJL.AX
commonStock,495986000.0,495986000.0,467753000.0,467753000.0,AJL.AX
otherCurrentAssets,3635000.0,2048000.0,6078000.0,11017000.0,AJL.AX
retainedEarnings,-409088000.0,-412427000.0,-403560000.0,-364170000.0,AJL.AX
otherLiab,2909000.0,9500000.0,2424000.0,863000.0,AJL.AX
treasuryStock,6369000.0,2256000.0,43349000.0,35527000.0,AJL.AX
cash,5142000.0,4478000.0,8376000.0,9422000.0,AJL.AX
totalCurrentLiabilities,59227000.0,64250000.0,103455000.0,59311000.0,AJL.AX
shortLongTermDebt,9084000.0,10517000.0,67164000.0,17185000.0,AJL.AX
otherStockholderEquity,6369000.0,2256000.0,43349000.0,35527000.0,AJL.AX
propertyPlantEquipment,198008000.0,198332000.0,77677000.0,63607000.0,AJL.AX
totalCurrentAssets,33993000.0,40232000.0,52828000.0,82787000.0,AJL.AX
netTangibleAssets,93267000.0,85815000.0,107542000.0,139110000.0,AJL.AX
netReceivables,18676000.0,28129000.0,34252000.0,21510000.0,AJL.AX
longTermDebt,72907000.0,74433000.0,52536000.0,67651000.0,AJL.AX
inventory,6540000.0,5577000.0,4122000.0,40838000.0,AJL.AX
accountsPayable,6822000.0,8007000.0,12872000.0,11502000.0,AJL.AX
longTermInvestments,,,135452000.0,120541000.0,AJL.AX
