Breakdown,2021-06-30 00:00:00,2020-06-30 00:00:00,2019-06-30 00:00:00,2018-06-30 00:00:00,ticker
intangibleAssets,230000.0,225000.0,,,AJQ.AX
totalLiab,55103000.0,69804000.0,71793466.0,56675496.0,AJQ.AX
totalStockholderEquity,49513000.0,42174000.0,44758763.0,44845831.0,AJQ.AX
otherCurrentLiab,3174000.0,1625000.0,1033827.0,1179372.0,AJQ.AX
totalAssets,104616000.0,111978000.0,116552229.0,101521327.0,AJQ.AX
commonStock,141876000.0,121222000.0,112815145.0,102395244.0,AJQ.AX
otherCurrentAssets,876000.0,913000.0,525504.0,162364.0,AJQ.AX
retainedEarnings,-86175000.0,-74583000.0,-65048760.0,-58996813.0,AJQ.AX
otherLiab,6720000.0,6737000.0,7658579.0,8553277.0,AJQ.AX
treasuryStock,-6188000.0,-4465000.0,-3007622.0,1447400.0,AJQ.AX
otherAssets,9628000.0,8110000.0,8391775.0,8308501.0,AJQ.AX
cash,2358000.0,3246000.0,9225176.0,5104627.0,AJQ.AX
totalCurrentLiabilities,23542000.0,19911000.0,6690858.0,10543173.0,AJQ.AX
shortLongTermDebt,13620000.0,11714000.0,1203125.0,1543466.0,AJQ.AX
otherStockholderEquity,-6188000.0,-4465000.0,-3007622.0,1447400.0,AJQ.AX
propertyPlantEquipment,86173000.0,93793000.0,91659196.0,79923203.0,AJQ.AX
totalCurrentAssets,7435000.0,8763000.0,14376248.0,9037623.0,AJQ.AX
longTermInvestments,1150000.0,1087000.0,2125010.0,4252000.0,AJQ.AX
netTangibleAssets,49283000.0,41949000.0,44758763.0,44845831.0,AJQ.AX
netReceivables,2104000.0,2016000.0,2664746.0,2382299.0,AJQ.AX
longTermDebt,23877000.0,43123000.0,57415243.0,37511879.0,AJQ.AX
inventory,2097000.0,2588000.0,1960822.0,1388333.0,AJQ.AX
accountsPayable,3820000.0,3548000.0,2613838.0,5596251.0,AJQ.AX
