Breakdown,2021-06-30 00:00:00,2020-06-30 00:00:00,2019-06-30 00:00:00,2018-06-30 00:00:00,ticker
investments,-20000.0,-36000.0,-36000.0,-36000.0,AL3.AX
changeToLiabilities,550000.0,592000.0,84022.0,43518.0,AL3.AX
totalCashflowsFromInvestingActivities,-2033000.0,-889000.0,-219559.0,-233222.0,AL3.AX
netBorrowings,-129000.0,-84000.0,1574362.0,42723.0,AL3.AX
totalCashFromFinancingActivities,7160000.0,10144000.0,1661387.0,708828.0,AL3.AX
changeToOperatingActivities,93000.0,-224000.0,10891.0,5536.0,AL3.AX
issuanceOfStock,7289000.0,10228000.0,215000.0,666105.0,AL3.AX
netIncome,-5515000.0,-3094000.0,-680836.0,-50301.0,AL3.AX
changeInCash,-1027000.0,7070000.0,753973.0,378792.0,AL3.AX
totalCashFromOperatingActivities,-6154000.0,-2185000.0,-687855.0,-96814.0,AL3.AX
depreciation,409000.0,86000.0,73985.0,16970.0,AL3.AX
changeToInventory,-1919000.0,-112000.0,-112000.0,-112000.0,AL3.AX
changeToAccountReceivables,202000.0,-400000.0,-186802.0,-119570.0,AL3.AX
changeToNetincome,26000.0,967000.0,967000.0,967000.0,AL3.AX
capitalExpenditures,-1981000.0,-826000.0,-200711.0,-198313.0,AL3.AX
otherCashflowsFromFinancingActivities,,,-127975.0,-127975.0,AL3.AX
