Breakdown,2021-09-30 00:00:00,2020-09-30 00:00:00,2019-09-30 00:00:00,2018-09-30 00:00:00,ticker
researchDevelopment,527600000,497900000,500400000,413600000,ALL.AX
effectOfAccountingCharges,,,,,ALL.AX
incomeBeforeTax,935900000,359600000,973500000,763100000,ALL.AX
minorityInterest,-7100000,-7100000,-7100000,-7100000,ALL.AX
netIncome,820000000,1377700000,698800000,542600000,ALL.AX
sellingGeneralAdministrative,833700000,975200000,828700000,642500000,ALL.AX
grossProfit,2460400000,1956400000,2426600000,1972300000,ALL.AX
ebit,1099100000,483300000,1097500000,916200000,ALL.AX
operatingIncome,1099100000,483300000,1097500000,916200000,ALL.AX
otherOperatingExpenses,,,,,ALL.AX
interestExpense,-137800000,-151200000,-135100000,-115300000,ALL.AX
extraordinaryItems,,,,,ALL.AX
nonRecurring,,,,,ALL.AX
otherItems,,,,,ALL.AX
incomeTaxExpense,115900000,-1018100000,274700000,220500000,ALL.AX
totalRevenue,4736600000,4139100000,4397400000,3509500000,ALL.AX
totalOperatingExpenses,3637500000,3655800000,3299900000,2593300000,ALL.AX
costOfRevenue,2276200000,2182700000,1970800000,1537200000,ALL.AX
totalOtherIncomeExpenseNet,-163200000,-123700000,-124000000,-153100000,ALL.AX
discontinuedOperations,,,,,ALL.AX
netIncomeFromContinuingOps,820000000,1377700000,698800000,542600000,ALL.AX
netIncomeApplicableToCommonShares,820000000,1377700000,698800000,542600000,ALL.AX
