Breakdown,2021-06-30 00:00:00,2020-06-30 00:00:00,ticker
researchDevelopment,,,ALO.AX
effectOfAccountingCharges,,,ALO.AX
incomeBeforeTax,220633,-877111,ALO.AX
minorityInterest,,,ALO.AX
netIncome,-110472,-940725,ALO.AX
sellingGeneralAdministrative,5806071,4367873,ALO.AX
grossProfit,11138915,7283203,ALO.AX
ebit,544394,-269696,ALO.AX
operatingIncome,544394,-269696,ALO.AX
otherOperatingExpenses,1436540,782187,ALO.AX
interestExpense,-1659235,-1218379,ALO.AX
extraordinaryItems,,,ALO.AX
nonRecurring,,,ALO.AX
otherItems,,,ALO.AX
incomeTaxExpense,331105,63614,ALO.AX
totalRevenue,11293459,7456134,ALO.AX
totalOperatingExpenses,10749065,7725830,ALO.AX
costOfRevenue,154544,172931,ALO.AX
totalOtherIncomeExpenseNet,-323761,-607415,ALO.AX
discontinuedOperations,,,ALO.AX
netIncomeFromContinuingOps,-110472,-940725,ALO.AX
netIncomeApplicableToCommonShares,-110472,-940725,ALO.AX
