Breakdown,2021-06-30 00:00:00,2020-06-30 00:00:00,2019-06-30 00:00:00,2018-06-30 00:00:00,ticker
changeToLiabilities,1574000.0,23908000.0,-3705000.0,8674000.0,AMA.AX
totalCashflowsFromInvestingActivities,33264000.0,-445859000.0,-64793000.0,-49318000.0,AMA.AX
netBorrowings,-134060000.0,229880000.0,27816000.0,39087000.0,AMA.AX
totalCashFromFinancingActivities,-134060000.0,424186000.0,23825000.0,26424000.0,AMA.AX
changeToOperatingActivities,-17035000.0,43528000.0,21720000.0,3600000.0,AMA.AX
netIncome,-96950000.0,-70265000.0,21553000.0,15105000.0,AMA.AX
changeInCash,-48713000.0,100820000.0,-4118000.0,1491000.0,AMA.AX
effectOfExchangeRate,-21000.0,35000.0,-63000.0,-89000.0,AMA.AX
totalCashFromOperatingActivities,52104000.0,122458000.0,36913000.0,24474000.0,AMA.AX
depreciation,80288000.0,69249000.0,16208000.0,13390000.0,AMA.AX
otherCashflowsFromInvestingActivities,63184000.0,25000.0,25000.0,25000.0,AMA.AX
changeToInventory,6816000.0,6090000.0,-10881000.0,-5253000.0,AMA.AX
changeToAccountReceivables,-614000.0,3879000.0,-1250000.0,-6003000.0,AMA.AX
changeToNetincome,75714000.0,45202000.0,-6732000.0,-5039000.0,AMA.AX
capitalExpenditures,-12514000.0,-13285000.0,-10885000.0,-11026000.0,AMA.AX
issuanceOfStock,,208711000.0,9509000.0,9509000.0,AMA.AX
dividendsPaid,,-9310000.0,-13300000.0,-12412000.0,AMA.AX
otherCashflowsFromFinancingActivities,,-5095000.0,-200000.0,-251000.0,AMA.AX
