Breakdown,Value,ticker
zip,2000,AML.AX
sector,Basic Materials,AML.AX
longBusinessSummary,"Aeon Metals Limited, together with subsidiaries, explores for and develops mineral properties in Australia. The company primarily explores for copper, cobalt, gold, lead, zinc, molybdenum, silver, and base metal deposits. Its 100% owned flagship property is the Walford Creek project located in northwest Queensland. The company was formerly known as Aussie Q Resources Limited and changed its name to Aeon Metals Limited in August 2012. Aeon Metals Limited was incorporated in 2006 and is headquartered in Sydney, Australia.",AML.AX
city,Sydney,AML.AX
phone,61 7 5574 3830,AML.AX
state,NSW,AML.AX
compensationAsOfEpochDate,1640908800,AML.AX
country,Australia,AML.AX
website,https://www.aeonmetals.com.au,AML.AX
maxAge,86400,AML.AX
address1,126 Phillip Street,AML.AX
industry,Other Industrial Metals & Mining,AML.AX
address2,Level 5,AML.AX
