Breakdown,Value,ticker
zip,6005,AOU.AX
sector,Basic Materials,AOU.AX
longBusinessSummary,"Auroch Minerals Limited explores for and develops mineral properties. It explores for copper, cobalt, nickel, gold, and zinc ores. The company holds a 100% interest in Arden, Bonaventura, and Torrens East Copper projects located in South Australia. It also owns a 100% interest in Saints Nickel and Leinster Nickel projects situated in Western Australia. The company was formerly known as Auroch Minerals NL and changed its name to Auroch Minerals Limited in March 2016. Auroch Minerals Limited was incorporated in 2011 and is based in West Perth, Australia.",AOU.AX
city,West Perth,AOU.AX
phone,61 8 6383 7817,AOU.AX
state,WA,AOU.AX
compensationAsOfEpochDate,1640908800,AOU.AX
country,Australia,AOU.AX
website,https://www.aurochminerals.com,AOU.AX
maxAge,86400,AOU.AX
address1,38-40 Colin Street,AOU.AX
fax,61 8 6245 9853,AOU.AX
industry,Gold,AOU.AX
address2,Suite 10,AOU.AX
