Breakdown,2021-06-30 00:00:00,2020-06-30 00:00:00,2019-06-30 00:00:00,2018-06-30 00:00:00,ticker
researchDevelopment,,,,,AQX.AX
effectOfAccountingCharges,,,,,AQX.AX
incomeBeforeTax,-1878149,-1575315,-1620052,-2424079,AQX.AX
minorityInterest,-154655,-140216,-136567,-113355,AQX.AX
netIncome,-1863710,-1571666,-1596840,-2344536,AQX.AX
sellingGeneralAdministrative,1315276,1074490,1207050,1485592,AQX.AX
grossProfit,247048,88422,1249,85200,AQX.AX
ebit,-1719326,-1404910,-1490725,-2278275,AQX.AX
operatingIncome,-1719326,-1404910,-1490725,-2278275,AQX.AX
otherOperatingExpenses,522309,351332,273497,320425,AQX.AX
interestExpense,,,,,AQX.AX
extraordinaryItems,,,,,AQX.AX
nonRecurring,,,,,AQX.AX
otherItems,,,,,AQX.AX
incomeTaxExpense,0,0,0,0,AQX.AX
totalRevenue,247048,88422,1249,85200,AQX.AX
totalOperatingExpenses,1966374,1493332,1491974,2363475,AQX.AX
costOfRevenue,0,0,0,0,AQX.AX
totalOtherIncomeExpenseNet,-158823,-170405,-129327,-145804,AQX.AX
discontinuedOperations,,,,,AQX.AX
netIncomeFromContinuingOps,-1878149,-1575315,-1620052,-2424079,AQX.AX
netIncomeApplicableToCommonShares,-1863710,-1571666,-1596840,-2344536,AQX.AX
