Breakdown,2021-06-30 00:00:00,2020-06-30 00:00:00,2019-06-30 00:00:00,ticker
researchDevelopment,2448000,2444000,2444000,ART.AX
effectOfAccountingCharges,,,,ART.AX
incomeBeforeTax,-9709000,-10254000,-29700000,ART.AX
minorityInterest,,,,ART.AX
netIncome,-9709000,-10254000,-29700000,ART.AX
sellingGeneralAdministrative,11056000,4658000,19300000,ART.AX
grossProfit,5459000,1107000,-8600000,ART.AX
ebit,-9667000,-7214000,-28800000,ART.AX
operatingIncome,-9667000,-7214000,-28800000,ART.AX
otherOperatingExpenses,-576000,-10000,-10000,ART.AX
interestExpense,-107000,-97000,-1200000,ART.AX
extraordinaryItems,,,,ART.AX
nonRecurring,,,,ART.AX
otherItems,,,,ART.AX
incomeTaxExpense,0,0,0,ART.AX
totalRevenue,26571000,19259000,14000000,ART.AX
totalOperatingExpenses,36238000,26473000,42800000,ART.AX
costOfRevenue,21112000,18152000,22600000,ART.AX
totalOtherIncomeExpenseNet,-42000,-3040000,-900000,ART.AX
discontinuedOperations,,,,ART.AX
netIncomeFromContinuingOps,-9709000,-10254000,-29700000,ART.AX
netIncomeApplicableToCommonShares,-9709000,-10254000,-29700000,ART.AX
