Breakdown,2021-06-30 00:00:00,2020-06-30 00:00:00,2019-06-30 00:00:00,2018-06-30 00:00:00,ticker
intangibleAssets,33732.0,71676.0,109414.0,83251.0,ARV.AX
totalLiab,4059157.0,3414761.0,8766340.0,11369749.0,ARV.AX
totalStockholderEquity,57668260.0,53446386.0,53420072.0,58610558.0,ARV.AX
totalAssets,61727417.0,56861147.0,62186412.0,69980307.0,ARV.AX
commonStock,105885802.0,92294878.0,81438336.0,79127087.0,ARV.AX
otherCurrentAssets,1600000.0,280212.0,,,ARV.AX
retainedEarnings,-51564182.0,-42105810.0,-30589267.0,-21241528.0,ARV.AX
otherLiab,1413123.0,1413123.0,1413123.0,,ARV.AX
treasuryStock,3346640.0,3257318.0,2571003.0,724999.0,ARV.AX
cash,9082554.0,412138.0,821481.0,27048303.0,ARV.AX
totalCurrentLiabilities,2646034.0,2001638.0,7353217.0,11369749.0,ARV.AX
otherStockholderEquity,3346640.0,3257318.0,2571003.0,724999.0,ARV.AX
propertyPlantEquipment,50168043.0,49340431.0,60541060.0,40571891.0,ARV.AX
totalCurrentAssets,11525642.0,7449040.0,1535938.0,29325165.0,ARV.AX
netTangibleAssets,57634528.0,53374710.0,53310658.0,58527307.0,ARV.AX
netReceivables,168637.0,6356.0,54501.0,1470953.0,ARV.AX
accountsPayable,2643864.0,1834010.0,1516278.0,7446797.0,ARV.AX
inventory,,,460202.0,,ARV.AX
shortTermInvestments,,,,430730.0,ARV.AX
