Breakdown,Value,ticker
zip,6005,AUR.AX
sector,Basic Materials,AUR.AX
longBusinessSummary,"Auris Minerals Limited engages in the exploration and development of mineral tenements in Western Australia. It primarily focuses on exploring the Bryah Basin copper-gold exploration portfolio covering an area of 1,369 square kilometers in 8 project areas, including Forrest, Cashman, Cheroona, Doolgunna, Morck Well, Feather Cap, Milgun, and Horseshoe Well. The company was formerly known as RNI NL and changed its name to Auris Minerals Limited in May 2017. Auris Minerals Limited was incorporated in 1999 and is based in West Perth, Australia.",AUR.AX
city,West Perth,AUR.AX
phone,61 8 6109 4333,AUR.AX
state,WA,AUR.AX
compensationAsOfEpochDate,1640908800,AUR.AX
country,Australia,AUR.AX
website,https://www.aurisminerals.com.au,AUR.AX
maxAge,86400,AUR.AX
address1,18 Richardson Street,AUR.AX
fax,61 8 9489 9201,AUR.AX
industry,Other Industrial Metals & Mining,AUR.AX
address2,Level 3,AUR.AX
