Breakdown,Value,ticker
zip,6005,AUT.AX
sector,Basic Materials,AUT.AX
longBusinessSummary,"Auteco Minerals Limited operates as a mineral exploration company in Australia and Canada. The company primarily focuses on exploration and evaluation of gold resources. It has an option to acquire 80% interest in the Pickle Crow gold project located in Ontario, Canada. The company also explores for vanadium and titanium deposits. Auteco Minerals Limited was incorporated in 2004 and is based in West Perth, Australia.",AUT.AX
city,West Perth,AUT.AX
phone,61 8 9220 9030,AUT.AX
state,WA,AUT.AX
compensationAsOfEpochDate,1640908800,AUT.AX
country,Australia,AUT.AX
website,https://www.autecominerals.com.au,AUT.AX
maxAge,86400,AUT.AX
address1,24 Outram Street,AUT.AX
industry,Other Industrial Metals & Mining,AUT.AX
address2,Ground Floor,AUT.AX
