Breakdown,2021-06-30 00:00:00,2020-06-30 00:00:00,2019-06-30 00:00:00,2018-06-30 00:00:00,ticker
researchDevelopment,,,,,AYI.AX
effectOfAccountingCharges,,,,,AYI.AX
incomeBeforeTax,-1504221,-1143320,-2575682,-1077708,AYI.AX
minorityInterest,,,,,AYI.AX
netIncome,-1505101,-1143320,-2575682,-1077708,AYI.AX
sellingGeneralAdministrative,761200,702169,792954,600589,AYI.AX
grossProfit,113351,213853,234146,120073,AYI.AX
ebit,-941963,-705877,-440750,-819507,AYI.AX
operatingIncome,-941963,-705877,-440750,-819507,AYI.AX
otherOperatingExpenses,74529,103768,-154696,84992,AYI.AX
interestExpense,-62631,-58262,-129296,-148545,AYI.AX
extraordinaryItems,,,,,AYI.AX
nonRecurring,,,,,AYI.AX
otherItems,,,,,AYI.AX
incomeTaxExpense,880,0,0,0,AYI.AX
totalRevenue,296683,435492,269122,289965,AYI.AX
totalOperatingExpenses,1238646,1141369,709872,1109472,AYI.AX
costOfRevenue,183332,221639,34976,169892,AYI.AX
totalOtherIncomeExpenseNet,-562258,-437443,-2134932,-258201,AYI.AX
discontinuedOperations,,,,,AYI.AX
netIncomeFromContinuingOps,-1505101,-1143320,-2575682,-1077708,AYI.AX
netIncomeApplicableToCommonShares,-1505101,-1143320,-2575682,-1077708,AYI.AX
