Breakdown,Value,ticker
zip,4006,AZJ.AX
sector,Industrials,AZJ.AX
fullTimeEmployees,4825,AZJ.AX
compensationRisk,5,AZJ.AX
auditRisk,2,AZJ.AX
longBusinessSummary,"Aurizon Holdings Limited, through its subsidiaries, operates as a rail freight operator in Australia. The company operates through Network, Coal, Bulk, and Other segments. It transports various commodities, including mining, agricultural, industrial, and retail products; and retail goods and groceries across small and big towns, and cities, as well as coal and iron ore. The company also operates and manages the Central Queensland Coal Network that consists of 2,670 kilometers of track network; and provides various specialist services, such as rail design, engineering, construction, management, and maintenance, as well as supply chain solutions. In addition, it transports bulk rail freight services for miners, primary producers, and the industry. The company was formerly known as QR National Limited and changed its name to Aurizon Holdings Limited in December 2012. Aurizon Holdings Limited was incorporated in 2010 and is headquartered in Fortitude Valley, Australia.",AZJ.AX
city,Fortitude Valley,AZJ.AX
phone,61 7 3019 9000,AZJ.AX
state,QLD,AZJ.AX
shareHolderRightsRisk,7,AZJ.AX
compensationAsOfEpochDate,1640908800,AZJ.AX
governanceEpochDate,1643673600,AZJ.AX
boardRisk,1,AZJ.AX
country,Australia,AZJ.AX
website,https://www.aurizon.com.au,AZJ.AX
maxAge,86400,AZJ.AX
overallRisk,2,AZJ.AX
address1,900 Ann Street,AZJ.AX
fax,61 7 3019 0720,AZJ.AX
industry,Railroads,AZJ.AX
address2,Level 8,AZJ.AX
