Breakdown,2021-06-30 00:00:00,2020-06-30 00:00:00,2019-06-30 00:00:00,ticker
totalLiab,35715756.0,986565.0,17162.0,B4P.AX
totalStockholderEquity,-13237993.0,649912.0,382938.0,B4P.AX
deferredLongTermLiab,217400.0,331750.0,,B4P.AX
otherCurrentLiab,258946.0,465414.0,,B4P.AX
totalAssets,22477763.0,1636477.0,400100.0,B4P.AX
commonStock,6023575.0,1316715.0,400100.0,B4P.AX
otherCurrentAssets,2091829.0,,,B4P.AX
retainedEarnings,-19434321.0,-667149.0,-17162.0,B4P.AX
treasuryStock,172753.0,346.0,,B4P.AX
otherAssets,458427.0,333164.0,,B4P.AX
cash,10011785.0,825793.0,100.0,B4P.AX
totalCurrentLiabilities,1641819.0,986565.0,17162.0,B4P.AX
otherStockholderEquity,172753.0,346.0,,B4P.AX
propertyPlantEquipment,173849.0,13302.0,,B4P.AX
totalCurrentAssets,21845487.0,1286051.0,400100.0,B4P.AX
netTangibleAssets,-13237993.0,645952.0,382938.0,B4P.AX
netReceivables,9741873.0,460258.0,400000.0,B4P.AX
longTermDebt,34073937.0,,,B4P.AX
accountsPayable,638246.0,5693.0,6151.0,B4P.AX
intangibleAssets,,3960.0,,B4P.AX
