Breakdown,2021-06-27 00:00:00,2020-06-28 00:00:00,2019-06-30 00:00:00,2018-06-24 00:00:00,ticker
intangibleAssets,4430000.0,3690000.0,4535000.0,2554000.0,BBN.AX
totalLiab,193658000.0,164892000.0,164089000.0,56978000.0,BBN.AX
totalStockholderEquity,107759000.0,93369000.0,92544000.0,91001000.0,BBN.AX
otherCurrentLiab,21729000.0,17102000.0,18531000.0,13157000.0,BBN.AX
totalAssets,301417000.0,258261000.0,256633000.0,147979000.0,BBN.AX
commonStock,87153000.0,86358000.0,85706000.0,85292000.0,BBN.AX
otherCurrentAssets,634000.0,587000.0,497000.0,400000.0,BBN.AX
retainedEarnings,7457000.0,2631000.0,4323000.0,4797000.0,BBN.AX
otherLiab,691000.0,565000.0,427000.0,3987000.0,BBN.AX
goodWill,45321000.0,45321000.0,45321000.0,44180000.0,BBN.AX
treasuryStock,13149000.0,4380000.0,2515000.0,912000.0,BBN.AX
otherAssets,11568000.0,7195000.0,7000000.0,4526000.0,BBN.AX
cash,10884000.0,13337000.0,5841000.0,7233000.0,BBN.AX
totalCurrentLiabilities,83249000.0,83244000.0,82009000.0,42221000.0,BBN.AX
deferredLongTermAssetCharges,11568000.0,7195000.0,7000000.0,4526000.0,BBN.AX
otherStockholderEquity,13149000.0,4380000.0,2515000.0,912000.0,BBN.AX
propertyPlantEquipment,139287000.0,115986000.0,120126000.0,21030000.0,BBN.AX
totalCurrentAssets,100811000.0,86069000.0,79651000.0,75689000.0,BBN.AX
netTangibleAssets,58008000.0,44358000.0,42688000.0,44267000.0,BBN.AX
netReceivables,6921000.0,5122000.0,4095000.0,3805000.0,BBN.AX
longTermDebt,9950000.0,,3133000.0,10770000.0,BBN.AX
inventory,79987000.0,65094000.0,68204000.0,62974000.0,BBN.AX
accountsPayable,30195000.0,36110000.0,30398000.0,25808000.0,BBN.AX
