Breakdown,2021-06-27 00:00:00,2020-06-28 00:00:00,2019-06-30 00:00:00,2018-06-24 00:00:00,ticker
changeToLiabilities,-1272000,5266000,6851000,2630000,BBN.AX
totalCashflowsFromInvestingActivities,-12107000,-8316000,-11789000,-6718000,BBN.AX
netBorrowings,-11601000,-22357000,-24062000,5970000,BBN.AX
totalCashFromFinancingActivities,-27262000,-34035000,-31384000,-2963000,BBN.AX
changeToOperatingActivities,1445000,186000,1462000,1599000,BBN.AX
netIncome,17532000,9986000,11646000,8657000,BBN.AX
changeInCash,-2453000,7496000,-1392000,808000,BBN.AX
totalCashFromOperatingActivities,36916000,49847000,41781000,10489000,BBN.AX
depreciation,28351000,24804000,22814000,3961000,BBN.AX
dividendsPaid,-15661000,-11678000,-7322000,-8933000,BBN.AX
changeToInventory,-14893000,3110000,-5228000,-6462000,BBN.AX
changeToAccountReceivables,-743000,-1026000,-291000,-1405000,BBN.AX
changeToNetincome,5396000,8455000,2227000,1070000,BBN.AX
capitalExpenditures,-10816000,-5457000,-8080000,-4987000,BBN.AX
