Breakdown,2021-06-30 00:00:00,2020-06-30 00:00:00,2019-06-30 00:00:00,2018-06-30 00:00:00,ticker
researchDevelopment,,,,,BCN.AX
effectOfAccountingCharges,,,,,BCN.AX
incomeBeforeTax,29023490,13822656,-8680121,-4161027,BCN.AX
minorityInterest,,,,,BCN.AX
netIncome,20281725,19021954,-8680121,-4161027,BCN.AX
sellingGeneralAdministrative,3116411,2045128,733432,433105,BCN.AX
grossProfit,35866549,19193521,0,0,BCN.AX
ebit,30063273,16771662,-6815187,-4244240,BCN.AX
operatingIncome,30063273,16771662,-6815187,-4244240,BCN.AX
otherOperatingExpenses,,,,-3892.0,BCN.AX
interestExpense,-1816660,-3050307,-2289237,-2289237,BCN.AX
extraordinaryItems,,,,,BCN.AX
nonRecurring,,,,,BCN.AX
otherItems,,,,,BCN.AX
incomeTaxExpense,8741765,-5199298,0,0,BCN.AX
totalRevenue,73729044,42793668,0,0,BCN.AX
totalOperatingExpenses,43665771,26022006,6815187,4244240,BCN.AX
costOfRevenue,37862495,23600147,0,0,BCN.AX
totalOtherIncomeExpenseNet,-1039783,-2949006,-1864934,83213,BCN.AX
discontinuedOperations,,,,,BCN.AX
netIncomeFromContinuingOps,20281725,19021954,-8680121,-4161027,BCN.AX
netIncomeApplicableToCommonShares,20281725,19021954,-8680121,-4161027,BCN.AX
