Breakdown,Value,ticker
zip,3550,BEN.AX
sector,Financial Services,BEN.AX
fullTimeEmployees,4483,BEN.AX
compensationRisk,2,BEN.AX
auditRisk,10,BEN.AX
longBusinessSummary,"Bendigo and Adelaide Bank Limited provides banking and financial products and services to retail customers and small to medium sized businesses in Australia. The company operates through Consumer, Business, and Agribusiness segments. It offers a range of products and services, including personal and business banking, financial planning, commercial mortgages and unsecured loans, investment products, insurance, and superannuation. The company also provides retail banking products and services; home loans for the mortgage broker and mortgage manager market; rural bank products and services; wealth management services; investments and funds management services, commercial loans, access to funeral bonds, estates and trusts management services, and corporate trustee and custodial services; and banking products and services to agribusiness participants. It operates 139 Bendigo Bank, 319 Community Bank, 13 Delphi Bank, 16 Alliance Bank, and 4 private franchise branches, as well as 191 rural bank points. The company was founded in 1858 and is headquartered in Bendigo, Australia.",BEN.AX
city,Bendigo,BEN.AX
phone,61 3 5445 0666,BEN.AX
state,VIC,BEN.AX
shareHolderRightsRisk,1,BEN.AX
compensationAsOfEpochDate,1640908800,BEN.AX
governanceEpochDate,1643673600,BEN.AX
boardRisk,1,BEN.AX
country,Australia,BEN.AX
website,https://www.bendigoadelaide.com.au,BEN.AX
maxAge,86400,BEN.AX
overallRisk,3,BEN.AX
address1,The Bendigo Centre,BEN.AX
fax,61 3 5485 7668,BEN.AX
industry,Banks—Regional,BEN.AX
