Breakdown,2020-12-31 00:00:00,2019-12-31 00:00:00,2018-12-31 00:00:00,2017-12-31 00:00:00,ticker
researchDevelopment,,,,,BFG.AX
effectOfAccountingCharges,,,,,BFG.AX
incomeBeforeTax,67000000,46500000,35667000,31159000,BFG.AX
minorityInterest,,,,5826000.0,BFG.AX
netIncome,46695000,32443000,24359000,20635000,BFG.AX
sellingGeneralAdministrative,173149000,149730000,142375000,133858000,BFG.AX
grossProfit,270537000,224976000,195934000,183134000,BFG.AX
ebit,0,0,0,0,BFG.AX
operatingIncome,67000000,46500000,35667000,31159000,BFG.AX
otherOperatingExpenses,19211000,18376000,16421000,16594000,BFG.AX
interestExpense,,,,,BFG.AX
extraordinaryItems,,,,,BFG.AX
nonRecurring,,,,,BFG.AX
otherItems,,,,,BFG.AX
incomeTaxExpense,20305000,14057000,10930000,9716000,BFG.AX
totalRevenue,293476000,246730000,215009000,201178000,BFG.AX
totalOperatingExpenses,226476000,200230000,179342000,170019000,BFG.AX
costOfRevenue,22939000,21754000,19075000,18044000,BFG.AX
totalOtherIncomeExpenseNet,0,0,0,0,BFG.AX
discontinuedOperations,,,,,BFG.AX
netIncomeFromContinuingOps,46695000,32443000,24737000,21443000,BFG.AX
netIncomeApplicableToCommonShares,46695000,32443000,24359000,20635000,BFG.AX
