Breakdown,Value,ticker
zip,1025,BGP.AX
sector,Consumer Cyclical,BGP.AX
fullTimeEmployees,2000,BGP.AX
longBusinessSummary,"Briscoe Group Limited, together with its subsidiaries, engages in the retail of homeware and sporting goods in New Zealand. The company operates through two segments, Homeware and Sporting Goods. It operates 88 retail stores, including 46 stores under the Briscoes Homeware brand; 1 store under the Living & Giving brand; and 41 stores under the Rebel Sport brand. It also sells products online. The company was founded in 1781 and is headquartered in Auckland, New Zealand. Briscoe Group Limited is a subsidiary of JB Were (NZ) Nominees Limited.",BGP.AX
city,Auckland,BGP.AX
phone,64 9 815 3737,BGP.AX
compensationAsOfEpochDate,1640908800,BGP.AX
country,New Zealand,BGP.AX
website,https://www.briscoegroup.co.nz,BGP.AX
maxAge,86400,BGP.AX
address1,1 Taylors Road,BGP.AX
fax,64 9 815 3738,BGP.AX
industry,Department Stores,BGP.AX
address2,Morningside,BGP.AX
