Breakdown,2021-06-30 00:00:00,2020-06-30 00:00:00,2019-06-30 00:00:00,2018-06-30 00:00:00,ticker
changeToLiabilities,388000.0,-794000.0,1040000.0,-4299000.0,BKY.AX
totalCashflowsFromInvestingActivities,-95000.0,-215000.0,-1254000.0,-1461000.0,BKY.AX
totalCashFromFinancingActivities,-5000.0,-2000.0,-27000.0,84214000.0,BKY.AX
changeToOperatingActivities,476000.0,-72000.0,-72000.0,-72000.0,BKY.AX
netIncome,-54953000.0,-42889000.0,34431000.0,-4748000.0,BKY.AX
changeInCash,-12701000.0,-4820000.0,-4348000.0,66120000.0,BKY.AX
effectOfExchangeRate,-7010000.0,2598000.0,4867000.0,2845000.0,BKY.AX
totalCashFromOperatingActivities,-5591000.0,-7201000.0,-7934000.0,-19478000.0,BKY.AX
depreciation,483000.0,313000.0,245000.0,278000.0,BKY.AX
changeToAccountReceivables,-70000.0,78000.0,188000.0,-539000.0,BKY.AX
otherCashflowsFromFinancingActivities,-5000.0,-2000.0,-27000.0,-2697000.0,BKY.AX
changeToNetincome,48085000.0,36163000.0,-43838000.0,-12867000.0,BKY.AX
capitalExpenditures,-95000.0,-215000.0,-1254000.0,-1461000.0,BKY.AX
netBorrowings,,,,85823000.0,BKY.AX
issuanceOfStock,,,,1088000.0,BKY.AX
