Breakdown,2020-12-31 00:00:00,2019-12-31 00:00:00,2018-12-31 00:00:00,2017-12-31 00:00:00,ticker
changeToLiabilities,-8951000.0,7798000.0,-18944000.0,18323000.0,BLY.AX
totalCashflowsFromInvestingActivities,-26912000.0,-44871000.0,-25373000.0,-15419000.0,BLY.AX
netBorrowings,-18793000.0,-9531000.0,11619000.0,44477000.0,BLY.AX
totalCashFromFinancingActivities,-18946000.0,-10963000.0,11619000.0,46391000.0,BLY.AX
changeToOperatingActivities,3156000.0,-5895000.0,-6798000.0,764000.0,BLY.AX
netIncome,-98766000.0,-56616000.0,-43523000.0,-150044000.0,BLY.AX
changeInCash,3273000.0,-18702000.0,-4816000.0,-15585000.0,BLY.AX
effectOfExchangeRate,-248000.0,1824000.0,5226000.0,7458000.0,BLY.AX
totalCashFromOperatingActivities,49379000.0,35308000.0,3712000.0,-54015000.0,BLY.AX
depreciation,39025000.0,36819000.0,32653000.0,41329000.0,BLY.AX
changeToInventory,-3757000.0,6415000.0,4023000.0,12672000.0,BLY.AX
changeToAccountReceivables,5291000.0,2184000.0,3037000.0,-19041000.0,BLY.AX
otherCashflowsFromFinancingActivities,-153000.0,-1432000.0,-1432000.0,-2550000.0,BLY.AX
changeToNetincome,110294000.0,40700000.0,27428000.0,27351000.0,BLY.AX
capitalExpenditures,-25127000.0,-47061000.0,-37095000.0,-25501000.0,BLY.AX
investments,,,,-859000.0,BLY.AX
issuanceOfStock,,,,4464000.0,BLY.AX
