Breakdown,2021-06-30 00:00:00,2020-06-30 00:00:00,2019-06-30 00:00:00,2018-06-30 00:00:00,ticker
changeToLiabilities,12616.0,-6612.0,38859.0,-138125.0,BLZ.AX
totalCashflowsFromInvestingActivities,-424111.0,-345124.0,-510212.0,796059.0,BLZ.AX
totalCashFromFinancingActivities,2637073.0,-2626.0,188512.0,1492425.0,BLZ.AX
issuanceOfStock,2812506.0,2812506.0,2812506.0,1587666.0,BLZ.AX
netIncome,-2428354.0,-756163.0,-710573.0,-2161702.0,BLZ.AX
changeInCash,1452470.0,-1086705.0,-875002.0,1840705.0,BLZ.AX
totalCashFromOperatingActivities,-760492.0,-738955.0,-553302.0,-447779.0,BLZ.AX
depreciation,7295.0,231117.0,13016.0,44358.0,BLZ.AX
changeToAccountReceivables,15451.0,-6111.0,18469.0,-11351.0,BLZ.AX
otherCashflowsFromFinancingActivities,-175433.0,-2626.0,188512.0,-95241.0,BLZ.AX
changeToNetincome,1632500.0,7244.0,86927.0,1819041.0,BLZ.AX
capitalExpenditures,-424111.0,-419081.0,-510212.0,-157242.0,BLZ.AX
investments,,73957.0,73957.0,73957.0,BLZ.AX
