Breakdown,2021-06-30 00:00:00,2020-06-30 00:00:00,2019-06-30 00:00:00,2018-06-30 00:00:00,ticker
totalLiab,183183.0,323354.0,157416.0,132082.0,BOA.AX
totalStockholderEquity,7837655.0,4497276.0,2942196.0,3737581.0,BOA.AX
totalAssets,8020838.0,4820630.0,3099612.0,3869663.0,BOA.AX
commonStock,10835338.0,5763886.0,5381690.0,5381690.0,BOA.AX
retainedEarnings,-3021683.0,-1266610.0,-2439494.0,-1644109.0,BOA.AX
otherLiab,3968.0,3490.0,18645.0,14850.0,BOA.AX
treasuryStock,24000.0,,,,BOA.AX
cash,5253824.0,500622.0,501803.0,1202936.0,BOA.AX
totalCurrentLiabilities,179215.0,319864.0,138771.0,117232.0,BOA.AX
otherStockholderEquity,24000.0,,,,BOA.AX
propertyPlantEquipment,2655019.0,2724435.0,2525160.0,2622968.0,BOA.AX
totalCurrentAssets,5360718.0,580434.0,571532.0,1243248.0,BOA.AX
longTermInvestments,5101.0,3261.0,2920.0,3447.0,BOA.AX
netTangibleAssets,7837655.0,4497276.0,2942196.0,3737581.0,BOA.AX
netReceivables,50670.0,29142.0,69729.0,40312.0,BOA.AX
accountsPayable,154710.0,87047.0,83911.0,69997.0,BOA.AX
otherAssets,,1512500.0,,,BOA.AX
deferredLongTermAssetCharges,,1512500.0,,,BOA.AX
