Breakdown,2021-06-30 00:00:00,2020-06-30 00:00:00,2019-06-30 00:00:00,2018-06-30 00:00:00,ticker
changeToLiabilities,3618000.0,-1208000.0,-948000.0,175000.0,BOL.AX
totalCashflowsFromInvestingActivities,-9891000.0,2420000.0,-4419000.0,-3074000.0,BOL.AX
netBorrowings,-9081000.0,-28762000.0,-2824000.0,-8865000.0,BOL.AX
totalCashFromFinancingActivities,-13802000.0,-30494000.0,-9046000.0,-8865000.0,BOL.AX
changeToOperatingActivities,-2399000.0,1398000.0,-1553000.0,288000.0,BOL.AX
netIncome,1230000.0,-16959000.0,-5330000.0,-1547000.0,BOL.AX
changeInCash,216000.0,681000.0,-220000.0,-488000.0,BOL.AX
totalCashFromOperatingActivities,23909000.0,28755000.0,13245000.0,11451000.0,BOL.AX
depreciation,31856000.0,31907000.0,17340000.0,18203000.0,BOL.AX
dividendsPaid,-4278000.0,-4278000.0,-4278000.0,-4278000.0,BOL.AX
changeToInventory,-75000.0,1981000.0,-2181000.0,-47000.0,BOL.AX
changeToAccountReceivables,-8363000.0,972000.0,1143000.0,-6695000.0,BOL.AX
otherCashflowsFromFinancingActivities,-443000.0,-6000.0,-244000.0,-244000.0,BOL.AX
changeToNetincome,-268000.0,1663000.0,4422000.0,771000.0,BOL.AX
capitalExpenditures,-14711000.0,-2190000.0,-10765000.0,-5516000.0,BOL.AX
repurchaseOfStock,,-1726000.0,-5978000.0,-5978000.0,BOL.AX
