Breakdown,Value,ticker
zip,6006,BOT.AX
sector,Healthcare,BOT.AX
fullTimeEmployees,6,BOT.AX
longBusinessSummary,"Botanix Pharmaceuticals Limited, a clinical stage synthetic cannabinoid pharmaceutical company, engages in the research and development of dermatology and antimicrobial products in Australia. Its product pipeline include BTX 1503, a transdermal gel formulation for the treatment of serious acne in adults and teenagers that has completed Phase II clinical trials; BTX 1801, which has completed Phase IIa clinical trials for the treatment of staphylococcus aureus and methicillin resistant staphylococcus aureus; BTX 1702 that is in Phase Ib clinical trials for the treatment of papulopustular rosacea; and BTX 1204A for the treatment of atopic dermatitis. The company was incorporated in 1984 and is based in North Perth, Australia.",BOT.AX
city,North Perth,BOT.AX
phone,61 8 6555 2945,BOT.AX
state,WA,BOT.AX
compensationAsOfEpochDate,1640908800,BOT.AX
country,Australia,BOT.AX
website,https://www.botanixpharma.com,BOT.AX
maxAge,86400,BOT.AX
address1,50 Angove Street,BOT.AX
fax,61 8 6210 1153,BOT.AX
industry,Biotechnology,BOT.AX
address2,Level 1,BOT.AX
