Breakdown,Value,ticker
zip,2000,BUY.AX
sector,Energy,BUY.AX
longBusinessSummary,"Bounty Oil & Gas NL engages in the exploration, development, production, and marketing of oil and gas projects in Australia. It also invests in listed shares and securities. The company was incorporated in 1999 and is based in Sydney, Australia.",BUY.AX
city,Sydney,BUY.AX
phone,61 2 9299 2007,BUY.AX
state,NSW,BUY.AX
compensationAsOfEpochDate,1640908800,BUY.AX
country,Australia,BUY.AX
website,https://www.bountyoil.com,BUY.AX
maxAge,86400,BUY.AX
address1,283 George Street,BUY.AX
fax,61 2 9299 7300,BUY.AX
industry,Oil & Gas E&P,BUY.AX
address2,Level 7,BUY.AX
