Breakdown,Value,ticker
zip,6008,CAY.AX
sector,Basic Materials,CAY.AX
longBusinessSummary,"Canyon Resources Limited, together with its subsidiaries, explores for bauxite and gold properties in West Africa. Its flagship property is the Minim Martap Bauxite project located in central Cameroon. The company was formerly known as Castlemaine Resources Limited and changed its name to Canyon Resources Limited in March 2010. Canyon Resources Limited was incorporated in 2009 and is based in Subiaco, Australia.",CAY.AX
city,Subiaco,CAY.AX
phone,61 8 9322 7600,CAY.AX
state,WA,CAY.AX
compensationAsOfEpochDate,1640908800,CAY.AX
country,Australia,CAY.AX
website,https://www.canyonresources.com.au,CAY.AX
maxAge,86400,CAY.AX
address1,181 Roberts Road,CAY.AX
industry,Other Industrial Metals & Mining,CAY.AX
address2,Level 1,CAY.AX
