Breakdown,Value,ticker
zip,6159,CCE.AX
sector,Utilities,CCE.AX
longBusinessSummary,"Carnegie Clean Energy Limited develops and commercializes the CETO wave energy technology for converting ocean wave energy into zero-emission electricity worldwide. Carnegie Clean Energy Limited has collaboration agreement with Hewlett Packard Enterprise Company to develop a reinforcement learning based controller for CETO. The company was formerly known as Carnegie Wave Energy Limited and changed its name to Carnegie Clean Energy Limited in December 2016. Carnegie Clean Energy Limited was incorporated in 1987 and is headquartered in North Fremantle, Australia.",CCE.AX
city,North Fremantle,CCE.AX
phone,61 8 6168 8400,CCE.AX
state,WA,CCE.AX
compensationAsOfEpochDate,1640908800,CCE.AX
country,Australia,CCE.AX
website,https://www.carnegiece.com,CCE.AX
maxAge,86400,CCE.AX
address1,21 North Mole Drive,CCE.AX
industry,Utilities—Renewable,CCE.AX
