Breakdown,2021-06-30 00:00:00,2020-06-30 00:00:00,2019-06-30 00:00:00,2018-06-30 00:00:00,ticker
changeToLiabilities,-8395,47091,17092,-65435,CHZ.AX
totalCashflowsFromInvestingActivities,-5823952,-2636994,-1743869,-1915482,CHZ.AX
totalCashFromFinancingActivities,14262130,3620432,1795793,1919238,CHZ.AX
changeToOperatingActivities,-45762,-23770,17096,17096,CHZ.AX
issuanceOfStock,15168832,3761139,1875600,2091126,CHZ.AX
netIncome,-2745821,-1135683,-2018453,-957352,CHZ.AX
changeInCash,6813306,35238,-1141989,-926651,CHZ.AX
effectOfExchangeRate,-19133,-19133,401,1461,CHZ.AX
totalCashFromOperatingActivities,-1605739,-948200,-1194314,-931868,CHZ.AX
depreciation,116986,71116,786334,29742,CHZ.AX
changeToAccountReceivables,36863,34403,-41254,-27518,CHZ.AX
otherCashflowsFromFinancingActivities,-906702,-140707,-79807,-171888,CHZ.AX
changeToNetincome,1040390,58643,44871,88695,CHZ.AX
capitalExpenditures,-5823952,-2636994,-1743869,-1915482,CHZ.AX
