Breakdown,2021-05-02 00:00:00,2020-05-03 00:00:00,2019-04-28 00:00:00,2018-04-29 00:00:00,ticker
intangibleAssets,24497000.0,26228000.0,25130000.0,21027000.0,CKF.AX
totalLiab,790866000.0,824924000.0,401789000.0,377915000.0,CKF.AX
totalStockholderEquity,362939000.0,357804000.0,350631000.0,332968000.0,CKF.AX
otherCurrentLiab,25117000.0,25464000.0,23136000.0,16747000.0,CKF.AX
totalAssets,1153805000.0,1182728000.0,752420000.0,710883000.0,CKF.AX
commonStock,290788000.0,290788000.0,290495000.0,290328000.0,CKF.AX
otherCurrentAssets,5162000.0,2986000.0,2354000.0,,CKF.AX
retainedEarnings,61395000.0,52928000.0,49365000.0,31689000.0,CKF.AX
otherLiab,11556000.0,11826000.0,6913000.0,6130000.0,CKF.AX
goodWill,426566000.0,431161000.0,424385000.0,419433000.0,CKF.AX
treasuryStock,10756000.0,14088000.0,10771000.0,10951000.0,CKF.AX
otherAssets,41485000.0,36913000.0,32398000.0,30677000.0,CKF.AX
cash,95717000.0,116297000.0,79791000.0,60450000.0,CKF.AX
totalCurrentLiabilities,143400000.0,133073000.0,102240000.0,85527000.0,CKF.AX
deferredLongTermAssetCharges,41129000.0,36535000.0,31984000.0,30154000.0,CKF.AX
shortLongTermDebt,1536000.0,2641000.0,1534000.0,1216000.0,CKF.AX
otherStockholderEquity,10756000.0,14088000.0,10771000.0,10951000.0,CKF.AX
propertyPlantEquipment,548019000.0,556873000.0,176704000.0,164929000.0,CKF.AX
totalCurrentAssets,110836000.0,129200000.0,91650000.0,72880000.0,CKF.AX
longTermInvestments,2402000.0,2353000.0,2153000.0,1937000.0,CKF.AX
netTangibleAssets,-88124000.0,-99585000.0,-98884000.0,-107492000.0,CKF.AX
netReceivables,2786000.0,3071000.0,3183000.0,2676000.0,CKF.AX
longTermDebt,272309000.0,319055000.0,292636000.0,286258000.0,CKF.AX
inventory,7171000.0,6846000.0,6322000.0,5975000.0,CKF.AX
accountsPayable,79255000.0,70069000.0,71839000.0,62015000.0,CKF.AX
