Breakdown,2021-06-30 00:00:00,2020-06-30 00:00:00,2019-06-30 00:00:00,2018-06-30 00:00:00,ticker
changeToLiabilities,4346000.0,843000.0,1147000.0,829000.0,CL1.AX
totalCashflowsFromInvestingActivities,-27522000.0,-22357000.0,-8959000.0,-5216000.0,CL1.AX
netBorrowings,9204000.0,9222000.0,9222000.0,9222000.0,CL1.AX
totalCashFromFinancingActivities,2421000.0,4019000.0,-9158000.0,-5132000.0,CL1.AX
changeToOperatingActivities,-743000.0,-257000.0,-624000.0,210000.0,CL1.AX
issuanceOfStock,174000.0,808000.0,193000.0,160000.0,CL1.AX
netIncome,3666000.0,6840000.0,8975000.0,8698000.0,CL1.AX
changeInCash,-6125000.0,-976000.0,-5193000.0,3244000.0,CL1.AX
repurchaseOfStock,-769000.0,-769000.0,-3475000.0,-3475000.0,CL1.AX
totalCashFromOperatingActivities,18976000.0,17362000.0,12924000.0,13592000.0,CL1.AX
depreciation,3473000.0,1909000.0,723000.0,577000.0,CL1.AX
otherCashflowsFromInvestingActivities,-92000.0,-92000.0,-92000.0,54000.0,CL1.AX
dividendsPaid,-6188000.0,-6011000.0,-5876000.0,-5292000.0,CL1.AX
changeToAccountReceivables,-951000.0,-249000.0,-468000.0,-109000.0,CL1.AX
changeToNetincome,4028000.0,681000.0,227000.0,613000.0,CL1.AX
capitalExpenditures,-486000.0,-414000.0,-309000.0,-500000.0,CL1.AX
investments,,-1100000.0,-2000000.0,-2000000.0,CL1.AX
