Breakdown,2021-06-30 00:00:00,2020-06-30 00:00:00,2019-06-30 00:00:00,2018-06-30 00:00:00,ticker
researchDevelopment,3253000,1876000,1265000,1053000,CL1.AX
effectOfAccountingCharges,,,,,CL1.AX
incomeBeforeTax,5832000,10077000,12539000,12559000,CL1.AX
minorityInterest,,,,,CL1.AX
netIncome,3666000,6840000,8975000,8698000,CL1.AX
sellingGeneralAdministrative,1467000,1654000,2598000,2396000,CL1.AX
grossProfit,30776000,25401000,23864000,20887000,CL1.AX
ebit,10309000,10777000,12173000,12159000,CL1.AX
operatingIncome,10309000,10777000,12173000,12159000,CL1.AX
otherOperatingExpenses,4309000,3022000,2084000,1543000,CL1.AX
interestExpense,-451000,-140000,-140000,-6000,CL1.AX
extraordinaryItems,,,,,CL1.AX
nonRecurring,,,,,CL1.AX
otherItems,,,,,CL1.AX
incomeTaxExpense,2166000,3237000,3564000,3861000,CL1.AX
totalRevenue,54784000,43904000,38283000,33978000,CL1.AX
totalOperatingExpenses,44475000,33127000,26110000,21819000,CL1.AX
costOfRevenue,24008000,18503000,14419000,13091000,CL1.AX
totalOtherIncomeExpenseNet,-4477000,-700000,366000,400000,CL1.AX
discontinuedOperations,,,,,CL1.AX
netIncomeFromContinuingOps,3666000,6840000,8975000,8698000,CL1.AX
netIncomeApplicableToCommonShares,3666000,6840000,8975000,8698000,CL1.AX
