Breakdown,2021-06-30 00:00:00,2020-06-30 00:00:00,2019-06-30 00:00:00,2018-06-30 00:00:00,ticker
intangibleAssets,4657599.0,6336383.0,7587811.0,8127718.0,CLX.AX
totalLiab,121434794.0,128386578.0,78247479.0,72846844.0,CLX.AX
totalStockholderEquity,88431317.0,81614185.0,90297476.0,91859918.0,CLX.AX
otherCurrentLiab,11872866.0,9119071.0,12885546.0,13679453.0,CLX.AX
totalAssets,209866111.0,210000763.0,168544955.0,164706762.0,CLX.AX
commonStock,27390922.0,27248025.0,27248025.0,26727285.0,CLX.AX
retainedEarnings,59107833.0,52439682.0,61156276.0,63354100.0,CLX.AX
otherLiab,2646392.0,2160411.0,1981997.0,2401826.0,CLX.AX
goodWill,26461029.0,26461029.0,26461029.0,26461029.0,CLX.AX
treasuryStock,1932562.0,1926478.0,1893175.0,1778533.0,CLX.AX
otherAssets,5377699.0,6210850.0,2774973.0,2207021.0,CLX.AX
cash,6493618.0,7611064.0,2186341.0,1990790.0,CLX.AX
totalCurrentLiabilities,44377451.0,39299109.0,29905326.0,28161860.0,CLX.AX
deferredLongTermAssetCharges,3170678.0,4003829.0,567952.0,,CLX.AX
otherStockholderEquity,1932562.0,1926478.0,1893175.0,1778533.0,CLX.AX
propertyPlantEquipment,133451781.0,133235123.0,98031641.0,96755569.0,CLX.AX
totalCurrentAssets,39865167.0,37713234.0,33618521.0,31107772.0,CLX.AX
longTermInvestments,52836.0,44144.0,70980.0,47653.0,CLX.AX
netTangibleAssets,57312689.0,48816773.0,56248636.0,57271171.0,CLX.AX
netReceivables,31386515.0,28277807.0,29832035.0,27150194.0,CLX.AX
longTermDebt,31905000.0,42770000.0,44300000.0,40500000.0,CLX.AX
inventory,297958.0,165359.0,134345.0,161626.0,CLX.AX
accountsPayable,8185823.0,8551039.0,8809391.0,8032600.0,CLX.AX
