Breakdown,2021-06-30 00:00:00,2020-06-30 00:00:00,2019-06-30 00:00:00,2018-06-30 00:00:00,ticker
totalLiab,1252045.0,816774.0,510615.0,141241.0,CNB.AX
totalStockholderEquity,10598121.0,5021446.0,7806553.0,3620150.0,CNB.AX
totalAssets,11850166.0,5838220.0,8317168.0,3761391.0,CNB.AX
commonStock,17060166.0,11885025.0,11885025.0,7592555.0,CNB.AX
otherCurrentAssets,15000.0,388000.0,15000.0,15000.0,CNB.AX
retainedEarnings,-8699967.0,-9071349.0,-5948263.0,-4847085.0,CNB.AX
otherLiab,334145.0,382948.0,336844.0,,CNB.AX
treasuryStock,2237922.0,2207770.0,1869791.0,874680.0,CNB.AX
otherAssets,323400.0,,,,CNB.AX
cash,6662191.0,1099313.0,4041363.0,3725459.0,CNB.AX
totalCurrentLiabilities,917900.0,424723.0,173771.0,141241.0,CNB.AX
otherStockholderEquity,2237922.0,2207770.0,1869791.0,874680.0,CNB.AX
propertyPlantEquipment,4421422.0,4196461.0,4102514.0,7080.0,CNB.AX
totalCurrentAssets,7105344.0,1641759.0,4214654.0,3754311.0,CNB.AX
netTangibleAssets,10598121.0,5021446.0,7806553.0,3620150.0,CNB.AX
netReceivables,346263.0,37723.0,116081.0,13852.0,CNB.AX
accountsPayable,805294.0,300303.0,74498.0,17649.0,CNB.AX
otherCurrentLiab,,,,45750.0,CNB.AX
