Breakdown,2021-06-30 00:00:00,2020-06-30 00:00:00,2019-06-30 00:00:00,2018-06-30 00:00:00,ticker
changeToLiabilities,184041,157968,-8596,-41199,CNJ.AX
totalCashflowsFromInvestingActivities,-3287299,-472701,-362935,-185128,CNJ.AX
netBorrowings,-393050,393050,393050,393050,CNJ.AX
totalCashFromFinancingActivities,7721039,701615,803382,375000,CNJ.AX
issuanceOfStock,8114089,308565,803382,375000,CNJ.AX
netIncome,-995140,-349970,-468501,-775340,CNJ.AX
changeInCash,3746851,40338,-34683,-300622,CNJ.AX
effectOfExchangeRate,-90069,-90069,-90069,-90069,CNJ.AX
totalCashFromOperatingActivities,-596820,-188576,-475130,-490494,CNJ.AX
depreciation,5829,1019,1199,1463,CNJ.AX
changeToAccountReceivables,14340,-5923,642,13382,CNJ.AX
changeToNetincome,194110,8330,126,311200,CNJ.AX
capitalExpenditures,-3280694,-472701,-362935,-185128,CNJ.AX
