Breakdown,Value,ticker
zip,6000,CNW.AX
sector,Technology,CNW.AX
longBusinessSummary,"Cirrus Networks Holdings Limited, together with its subsidiaries, provides information technology (IT) services and related third-party products in Australia. The company also offers advisory services for strategic plans, architecture, governance, procurement, cloud, IOT, and program and asset management; integration services, such as connectivity and communication, data center, collaboration, security, and project management and people services; managed services; and infrastructure services. Cirrus Networks Holdings Limited was incorporated in 2003 and is based in Perth, Australia.",CNW.AX
city,Perth,CNW.AX
phone,61 8 6180 4222,CNW.AX
state,WA,CNW.AX
compensationAsOfEpochDate,1640908800,CNW.AX
country,Australia,CNW.AX
website,https://www.cirrusnetworks.com.au,CNW.AX
maxAge,86400,CNW.AX
address1,108 St Georges Terrace,CNW.AX
industry,Information Technology Services,CNW.AX
address2,Level 28,CNW.AX
