Breakdown,2021-06-30 00:00:00,2020-06-30 00:00:00,2019-06-30 00:00:00,2018-06-30 00:00:00,ticker
researchDevelopment,195000000,185100000,184400000,167700000,COH.AX
effectOfAccountingCharges,,,,,COH.AX
incomeBeforeTax,365700000,-271100000,365600000,340500000,COH.AX
minorityInterest,,,,,COH.AX
netIncome,326500000,-238300000,276700000,245800000,COH.AX
sellingGeneralAdministrative,556300000,563800000,545700000,494400000,COH.AX
grossProfit,1087400000,964700000,1075600000,1002500000,COH.AX
ebit,344400000,219700000,352900000,345200000,COH.AX
operatingIncome,344400000,219700000,352900000,345200000,COH.AX
otherOperatingExpenses,-8300000,-3900000,-7400000,-4800000,COH.AX
interestExpense,-12000000,-10500000,-5200000,-8500000,COH.AX
extraordinaryItems,,,,,COH.AX
nonRecurring,,,,,COH.AX
otherItems,,,,,COH.AX
incomeTaxExpense,39200000,-32800000,88900000,94700000,COH.AX
totalRevenue,1497600000,1320600000,1426700000,1363700000,COH.AX
totalOperatingExpenses,1153200000,1100900000,1073800000,1018500000,COH.AX
costOfRevenue,410200000,355900000,351100000,361200000,COH.AX
totalOtherIncomeExpenseNet,21300000,-490800000,12700000,-4700000,COH.AX
discontinuedOperations,,,,,COH.AX
netIncomeFromContinuingOps,326500000,-238300000,276700000,245800000,COH.AX
netIncomeApplicableToCommonShares,326500000,-238300000,276700000,245800000,COH.AX
